date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,cumulative_confirmed_for_each_Location,precentage_of_recovered_per_day,precentage_of_tested_per_day,precentage_of_deceased_per_day,precentage_of_confirmed_per_day,precentage_of_death_from_confirmed,recovery-rate,case_to_recovery_ratio
2020-12-14,Cd_Ma,0.0,,,,12.0,764.974429562179,87779.05924540068,2406760.221967655,12.0,,,,0.0,63.747869130181584,7314.92160378339,0.00013670686497621308
2020-12-25,Ke_02,0.0,,,,250.0,764.974429562179,87779.05924540068,2406760.221967655,250.0,,,,0.0,3.059897718248716,351.11623698160275,0.0028480596870044395
2021-01-06,Nl_Gr_0003,5.0,0.0,,,326.0,2.0,87779.05924540068,2406760.221967655,326.0,,,0.0,0.015337423312883436,0.006134969325153374,269.26091793067695,0.003713869831853789
2021-01-06,Nl_Nb_0788,2.0,0.0,,,752.0,13.0,87779.05924540068,2406760.221967655,752.0,,,0.0,0.0026595744680851063,0.017287234042553192,116.72747240079879,0.008566963538509354
2021-01-06,Nl_Gr_0024,1.0,0.0,,,215.0,0.0,87779.05924540068,2406760.221967655,215.0,,,,0.004651162790697674,0.0,408.27469416465436,0.002449331330823818
2021-01-06,Nl_Gr_0010,9.0,1.0,,,784.0,7.0,87779.05924540068,2406760.221967655,784.0,,,0.14285714285714285,0.011479591836734694,0.008928571428571428,111.96308577219475,0.008931515178445922
2021-01-06,Nl_Fr,172.0,2.0,,,16233.0,186.0,87779.05924540068,2406760.221967655,16233.0,,,0.010752688172043012,0.010595700117045524,0.011458140824246904,5.407445280933942,0.18493021159657225
2021-01-25,Es_Ml,0.0,,,,5673.0,764.974429562179,87779.05924540068,2406760.221967655,5673.0,,,,0.0,0.1348447786994851,15.473128722968568,0.06462817041750474
2021-01-25,Es_Ce,4.0,,,,3758.0,764.974429562179,87779.05924540068,2406760.221967655,3758.0,,,,0.0010643959552953698,0.20355892218259153,23.357918905109283,0.042812033215050734
2021-01-28,Ke_05,0.0,,,,77.0,764.974429562179,87779.05924540068,2406760.221967655,77.0,,,,0.0,9.93473285145687,1139.987782407801,0.0008772023835973673
2021-01-28,Ke_04,0.0,,,,1927.0,764.974429562179,87779.05924540068,2406760.221967655,1927.0,,,,0.0,0.396976870556398,45.55218435153123,0.021952844067430217
2021-01-28,Ke_03,0.0,,,,694.0,764.974429562179,87779.05924540068,2406760.221967655,694.0,,,,0.0,1.1022686304930533,126.4827943017301,0.007906213691124323
2021-01-28,Ke_01,0.0,,,,193.0,764.974429562179,87779.05924540068,2406760.221967655,193.0,,,,0.0,3.963598080633052,454.8137784735787,0.002198702078367427
2021-01-28,Ke_38,0.0,,,,277.0,764.974429562179,87779.05924540068,2406760.221967655,277.0,,,,0.0,2.7616405399356645,316.89191063321545,0.0031556501332009185
2021-01-28,Ke_33,0.0,,,,349.0,764.974429562179,87779.05924540068,2406760.221967655,349.0,,,,0.0,2.1919038096337506,251.515929069916,0.003975891323058197
2021-01-28,Ke_34,0.0,,,,142.0,764.974429562179,87779.05924540068,2406760.221967655,142.0,,,,0.0,5.38714387015619,618.1623890521175,0.0016176979022185214
2021-01-28,Ke_35,0.0,,,,257.0,764.974429562179,87779.05924540068,2406760.221967655,257.0,,,,0.0,2.9765542006310466,341.5527597097303,0.0029278053582405634
2021-01-28,Ke_36,0.0,,,,705.0,764.974429562179,87779.05924540068,2406760.221967655,705.0,,,,0.0,1.0850701128541547,124.50930389418536,0.008031528317352519
2021-01-28,Ke_32,0.0,,,,262.0,764.974429562179,87779.05924540068,2406760.221967655,262.0,,,,0.0,2.919749731153355,335.0345772725217,0.0029847665519806524
2021-01-28,Ke_06,0.0,,,,396.0,764.974429562179,87779.05924540068,2406760.221967655,396.0,,,,0.0,1.9317536100055026,221.6642910237391,0.004511326544215032
2021-01-28,Ke_20,0.0,,,,552.0,764.974429562179,87779.05924540068,2406760.221967655,552.0,,,,0.0,1.3858232419604692,159.0200348648563,0.0062885157889058015
2021-01-28,Ke_08,0.0,,,,224.0,764.974429562179,87779.05924540068,2406760.221967655,224.0,,,,0.0,3.415064417688299,391.8708002026816,0.0025518614795559777
2021-01-28,Ke_31,0.0,,,,3284.0,764.974429562179,87779.05924540068,2406760.221967655,3284.0,,,,0.0,0.23293983847813002,26.72931158507938,0.03741211204849031
2021-01-28,Ke_30,0.0,,,,27495.0,764.974429562179,87779.05924540068,2406760.221967655,27495.0,,,,0.0,0.027822310586003964,3.192546253697061,0.31322960437674824
2021-01-28,Ke_29,0.0,,,,417.0,764.974429562179,87779.05924540068,2406760.221967655,417.0,,,,0.0,1.8344710541059448,210.50134111606877,0.004750563557923405
2021-01-28,Ke_27,0.0,,,,534.0,764.974429562179,87779.05924540068,2406760.221967655,534.0,,,,0.0,1.4325363849479007,164.3802607591773,0.006083455491441482
2021-01-28,Ke_26,0.0,,,,688.0,764.974429562179,87779.05924540068,2406760.221967655,688.0,,,,0.0,1.1118814383171207,127.58584192645448,0.007837860258636217
